-----RESULTS PRWTOS GYROS-----

Alba VS Anadolu_Efes	81 - 72
Alba VS Armani_Exchange_Olimpia	59 - 53
Alba VS Asvel_Villeurbanne	76 - 57
Alba VS Crvena	75 - 62
Alba VS Cska	56 - 51
Alba VS Barcelona_Lassa	61 - 93
Alba VS Bayern	58 - 75
Alba VS Fenerbahce	82 - 72
Alba VS Khimki	62 - 69
Alba VS Kirolbet_Baskonia_Vitoria_GasteizSpain	66 - 78
Alba VS Maccabi	85 - 84
Alba VS Olympiacos	80 - 81
Alba VS Panathinaikos	79 - 66
Alba VS Real_Madrid	64 - 69
Alba VS Valencia	78 - 51
Alba VS Zalgiris_Kaunas	85 - 54
Alba VS Zenit	74 - 63
Anadolu_Efes VS Alba	84 - 59
Anadolu_Efes VS Armani_Exchange_Olimpia	56 - 84
Anadolu_Efes VS Asvel_Villeurbanne	74 - 84
Anadolu_Efes VS Crvena	76 - 59
Anadolu_Efes VS Cska	76 - 83
Anadolu_Efes VS Barcelona_Lassa	63 - 75
Anadolu_Efes VS Bayern	69 - 70
Anadolu_Efes VS Fenerbahce	66 - 59
Anadolu_Efes VS Khimki	84 - 53
Anadolu_Efes VS Kirolbet_Baskonia_Vitoria_GasteizSpain	98 - 74
Anadolu_Efes VS Maccabi	75 - 87
Anadolu_Efes VS Olympiacos	69 - 54
Anadolu_Efes VS Panathinaikos	59 - 53
Anadolu_Efes VS Real_Madrid	88 - 95
Anadolu_Efes VS Valencia	99 - 53
Anadolu_Efes VS Zalgiris_Kaunas	87 - 53
Anadolu_Efes VS Zenit	101 - 52
Armani_Exchange_Olimpia VS Alba	68 - 73
Armani_Exchange_Olimpia VS Anadolu_Efes	75 - 89
Armani_Exchange_Olimpia VS Asvel_Villeurbanne	63 - 59
Armani_Exchange_Olimpia VS Crvena	67 - 65
Armani_Exchange_Olimpia VS Cska	77 - 68
Armani_Exchange_Olimpia VS Barcelona_Lassa	72 - 88
Armani_Exchange_Olimpia VS Bayern	66 - 62
Armani_Exchange_Olimpia VS Fenerbahce	63 - 76
Armani_Exchange_Olimpia VS Khimki	71 - 72
Armani_Exchange_Olimpia VS Kirolbet_Baskonia_Vitoria_GasteizSpain	87 - 83
Armani_Exchange_Olimpia VS Maccabi	70 - 70
Armani_Exchange_Olimpia VS Olympiacos	71 - 54
Armani_Exchange_Olimpia VS Panathinaikos	63 - 51
Armani_Exchange_Olimpia VS Real_Madrid	89 - 84
Armani_Exchange_Olimpia VS Valencia	77 - 54
Armani_Exchange_Olimpia VS Zalgiris_Kaunas	60 - 51
Armani_Exchange_Olimpia VS Zenit	57 - 69
Asvel_Villeurbanne VS Alba	60 - 55
Asvel_Villeurbanne VS Anadolu_Efes	71 - 67
Asvel_Villeurbanne VS Armani_Exchange_Olimpia	52 - 61
Asvel_Villeurbanne VS Crvena	50 - 66
Asvel_Villeurbanne VS Cska	70 - 75
Asvel_Villeurbanne VS Barcelona_Lassa	70 - 64
Asvel_Villeurbanne VS Bayern	51 - 56
Asvel_Villeurbanne VS Fenerbahce	55 - 74
Asvel_Villeurbanne VS Khimki	73 - 66
Asvel_Villeurbanne VS Kirolbet_Baskonia_Vitoria_GasteizSpain	83 - 71
Asvel_Villeurbanne VS Maccabi	63 - 65
Asvel_Villeurbanne VS Olympiacos	61 - 79
Asvel_Villeurbanne VS Panathinaikos	61 - 55
Asvel_Villeurbanne VS Real_Madrid	81 - 89
Asvel_Villeurbanne VS Valencia	66 - 65
Asvel_Villeurbanne VS Zalgiris_Kaunas	71 - 80
Asvel_Villeurbanne VS Zenit	55 - 70
Crvena VS Alba	67 - 61
Crvena VS Anadolu_Efes	83 - 89
Crvena VS Armani_Exchange_Olimpia	75 - 57
Crvena VS Asvel_Villeurbanne	58 - 61
Crvena VS Cska	73 - 72
Crvena VS Barcelona_Lassa	71 - 61
Crvena VS Bayern	59 - 80
Crvena VS Fenerbahce	79 - 62
Crvena VS Khimki	69 - 80
Crvena VS Kirolbet_Baskonia_Vitoria_GasteizSpain	57 - 55
Crvena VS Maccabi	68 - 61
Crvena VS Olympiacos	66 - 84
Crvena VS Panathinaikos	63 - 68
Crvena VS Real_Madrid	56 - 64
Crvena VS Valencia	56 - 80
Crvena VS Zalgiris_Kaunas	81 - 56
Crvena VS Zenit	79 - 53
Cska VS Alba	68 - 61
Cska VS Anadolu_Efes	60 - 77
Cska VS Armani_Exchange_Olimpia	80 - 61
Cska VS Asvel_Villeurbanne	70 - 66
Cska VS Crvena	79 - 61
Cska VS Barcelona_Lassa	68 - 78
Cska VS Bayern	80 - 58
Cska VS Fenerbahce	91 - 60
Cska VS Khimki	87 - 50
Cska VS Kirolbet_Baskonia_Vitoria_GasteizSpain	92 - 63
Cska VS Maccabi	80 - 89
Cska VS Olympiacos	87 - 76
Cska VS Panathinaikos	98 - 57
Cska VS Real_Madrid	69 - 59
Cska VS Valencia	63 - 54
Cska VS Zalgiris_Kaunas	56 - 87
Cska VS Zenit	70 - 68
Barcelona_Lassa VS Alba	64 - 69
Barcelona_Lassa VS Anadolu_Efes	90 - 84
Barcelona_Lassa VS Armani_Exchange_Olimpia	74 - 76
Barcelona_Lassa VS Asvel_Villeurbanne	59 - 60
Barcelona_Lassa VS Crvena	86 - 70
Barcelona_Lassa VS Cska	65 - 68
Barcelona_Lassa VS Bayern	73 - 74
Barcelona_Lassa VS Fenerbahce	78 - 85
Barcelona_Lassa VS Khimki	78 - 86
Barcelona_Lassa VS Kirolbet_Baskonia_Vitoria_GasteizSpain	67 - 55
Barcelona_Lassa VS Maccabi	76 - 80
Barcelona_Lassa VS Olympiacos	71 - 54
Barcelona_Lassa VS Panathinaikos	80 - 62
Barcelona_Lassa VS Real_Madrid	87 - 53
Barcelona_Lassa VS Valencia	77 - 74
Barcelona_Lassa VS Zalgiris_Kaunas	94 - 57
Barcelona_Lassa VS Zenit	88 - 62
Bayern VS Alba	82 - 50
Bayern VS Anadolu_Efes	51 - 82
Bayern VS Armani_Exchange_Olimpia	51 - 58
Bayern VS Asvel_Villeurbanne	61 - 60
Bayern VS Crvena	53 - 75
Bayern VS Cska	63 - 56
Bayern VS Barcelona_Lassa	69 - 91
Bayern VS Fenerbahce	71 - 65
Bayern VS Khimki	69 - 87
Bayern VS Kirolbet_Baskonia_Vitoria_GasteizSpain	53 - 73
Bayern VS Maccabi	67 - 80
Bayern VS Olympiacos	77 - 68
Bayern VS Panathinaikos	76 - 51
Bayern VS Real_Madrid	65 - 58
Bayern VS Valencia	80 - 72
Bayern VS Zalgiris_Kaunas	64 - 63
Bayern VS Zenit	77 - 55
Fenerbahce VS Alba	56 - 76
Fenerbahce VS Anadolu_Efes	69 - 61
Fenerbahce VS Armani_Exchange_Olimpia	63 - 50
Fenerbahce VS Asvel_Villeurbanne	63 - 52
Fenerbahce VS Crvena	65 - 53
Fenerbahce VS Cska	61 - 83
Fenerbahce VS Barcelona_Lassa	64 - 54
Fenerbahce VS Bayern	58 - 53
Fenerbahce VS Khimki	92 - 52
Fenerbahce VS Kirolbet_Baskonia_Vitoria_GasteizSpain	74 - 67
Fenerbahce VS Maccabi	66 - 90
Fenerbahce VS Olympiacos	57 - 52
Fenerbahce VS Panathinaikos	73 - 50
Fenerbahce VS Real_Madrid	69 - 56
Fenerbahce VS Valencia	61 - 53
Fenerbahce VS Zalgiris_Kaunas	83 - 60
Fenerbahce VS Zenit	58 - 67
Khimki VS Alba	84 - 73
Khimki VS Anadolu_Efes	68 - 78
Khimki VS Armani_Exchange_Olimpia	69 - 77
Khimki VS Asvel_Villeurbanne	52 - 76
Khimki VS Crvena	90 - 73
Khimki VS Cska	68 - 57
Khimki VS Barcelona_Lassa	73 - 62
Khimki VS Bayern	58 - 54
Khimki VS Fenerbahce	64 - 73
Khimki VS Kirolbet_Baskonia_Vitoria_GasteizSpain	64 - 82
Khimki VS Maccabi	58 - 87
Khimki VS Olympiacos	79 - 81
Khimki VS Panathinaikos	63 - 72
Khimki VS Real_Madrid	88 - 64
Khimki VS Valencia	61 - 50
Khimki VS Zalgiris_Kaunas	59 - 66
Khimki VS Zenit	73 - 51
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Alba	71 - 69
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Anadolu_Efes	75 - 70
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Armani_Exchange_Olimpia	55 - 64
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Asvel_Villeurbanne	63 - 76
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Crvena	56 - 59
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Cska	77 - 81
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Barcelona_Lassa	65 - 76
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Bayern	53 - 55
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Fenerbahce	53 - 79
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Khimki	55 - 64
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Maccabi	70 - 85
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Olympiacos	84 - 80
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Panathinaikos	57 - 63
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Real_Madrid	83 - 54
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Valencia	84 - 82
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Zalgiris_Kaunas	65 - 76
Kirolbet_Baskonia_Vitoria_GasteizSpain VS Zenit	88 - 71
Maccabi VS Alba	63 - 82
Maccabi VS Anadolu_Efes	93 - 75
Maccabi VS Armani_Exchange_Olimpia	78 - 87
Maccabi VS Asvel_Villeurbanne	92 - 70
Maccabi VS Crvena	78 - 63
Maccabi VS Cska	65 - 74
Maccabi VS Barcelona_Lassa	76 - 66
Maccabi VS Bayern	61 - 57
Maccabi VS Fenerbahce	65 - 87
Maccabi VS Khimki	88 - 75
Maccabi VS Kirolbet_Baskonia_Vitoria_GasteizSpain	55 - 64
Maccabi VS Olympiacos	96 - 68
Maccabi VS Panathinaikos	75 - 92
Maccabi VS Real_Madrid	71 - 86
Maccabi VS Valencia	67 - 79
Maccabi VS Zalgiris_Kaunas	95 - 63
Maccabi VS Zenit	94 - 53
Olympiacos VS Alba	89 - 53
Olympiacos VS Anadolu_Efes	67 - 81
Olympiacos VS Armani_Exchange_Olimpia	63 - 54
Olympiacos VS Asvel_Villeurbanne	54 - 82
Olympiacos VS Crvena	71 - 62
Olympiacos VS Cska	90 - 61
Olympiacos VS Barcelona_Lassa	59 - 57
Olympiacos VS Bayern	68 - 80
Olympiacos VS Fenerbahce	70 - 88
Olympiacos VS Khimki	73 - 88
Olympiacos VS Kirolbet_Baskonia_Vitoria_GasteizSpain	64 - 56
Olympiacos VS Maccabi	53 - 83
Olympiacos VS Panathinaikos	57 - 85
Olympiacos VS Real_Madrid	66 - 78
Olympiacos VS Valencia	89 - 60
Olympiacos VS Zalgiris_Kaunas	70 - 62
Olympiacos VS Zenit	53 - 62
Panathinaikos VS Alba	72 - 64
Panathinaikos VS Anadolu_Efes	63 - 54
Panathinaikos VS Armani_Exchange_Olimpia	69 - 60
Panathinaikos VS Asvel_Villeurbanne	68 - 57
Panathinaikos VS Crvena	76 - 85
Panathinaikos VS Cska	81 - 74
Panathinaikos VS Barcelona_Lassa	100 - 70
Panathinaikos VS Bayern	84 - 82
Panathinaikos VS Fenerbahce	59 - 59
Panathinaikos VS Khimki	72 - 82
Panathinaikos VS Kirolbet_Baskonia_Vitoria_GasteizSpain	87 - 57
Panathinaikos VS Maccabi	75 - 91
Panathinaikos VS Olympiacos	70 - 52
Panathinaikos VS Real_Madrid	100 - 51
Panathinaikos VS Valencia	93 - 71
Panathinaikos VS Zalgiris_Kaunas	80 - 77
Panathinaikos VS Zenit	56 - 71
